area,apprate,distance,duration
2.43,515.59,164.6,48
2.83,515.59,179.8,48
3.24,515.59,192.0,48
3.64,515.59,204.2,48
4.05,515.59,219.5,48
4.45,515.59,231.6,48
4.86,515.59,243.8,48
5.26,515.59,253.0,48
5.67,515.59,265.2,48
6.07,515.59,274.3,48
6.47,515.59,286.5,48
6.88,515.59,295.7,48
7.28,515.59,304.8,48
7.69,515.59,304.8,48
8.09,515.59,335.3,48
8.50,515.59,335.3,48
8.90,515.59,335.3,48
9.31,515.59,335.3,48
9.71,515.59,365.8,48
10.12,515.59,365.8,48
10.52,515.59,365.8,48
10.93,515.59,396.2,48
11.33,515.59,396.2,48
11.74,515.59,396.2,48
12.14,515.59,396.2,48
12.55,515.59,426.7,48
12.95,515.59,426.7,48
13.35,515.59,426.7,48
13.76,515.59,426.7,48
14.16,515.59,457.2,48
14.57,515.59,457.2,48
14.97,515.59,457.2,48
15.38,515.59,457.2,48
15.78,515.59,457.2,48
16.19,515.59,487.7,48
0.40,538.01,18.3,48
0.81,538.01,18.3,48
1.21,538.01,18.3,48
1.62,538.01,18.3,48
2.02,538.01,18.3,48
2.43,538.01,176.8,48
2.83,538.01,189.0,48
3.24,538.01,204.2,48
3.64,538.01,216.4,48
4.05,538.01,231.6,48
4.45,538.01,243.8,48
4.86,538.01,256.0,48
5.26,538.01,268.2,48
5.67,538.01,280.4,48
6.07,538.01,292.6,48
6.47,538.01,301.8,48
6.88,538.01,304.8,48
7.28,538.01,335.3,48
7.69,538.01,335.3,48
8.09,538.01,335.3,48
8.50,538.01,365.8,48
8.90,538.01,365.8,48
9.31,538.01,365.8,48
9.71,538.01,365.8,48
10.12,538.01,396.2,48
10.52,538.01,396.2,48
10.93,538.01,396.2,48
11.33,538.01,426.7,48
11.74,538.01,426.7,48
12.14,538.01,426.7,48
12.55,538.01,426.7,48
12.95,538.01,457.2,48
13.35,538.01,457.2,48
13.76,538.01,457.2,48
14.16,538.01,457.2,48
14.57,538.01,487.7,48
14.97,538.01,487.7,48
15.38,538.01,487.7,48
15.78,538.01,487.7,48
16.19,538.01,518.2,48
0.40,560.43,18.3,48
0.81,560.43,18.3,48
1.21,560.43,18.3,48
1.62,560.43,18.3,48
2.02,560.43,18.3,48
2.43,560.43,185.9,48
2.83,560.43,201.2,48
3.24,560.43,216.4,48
3.64,560.43,231.6,48
4.05,560.43,243.8,48
4.45,560.43,259.1,48
4.86,560.43,271.3,48
5.26,560.43,283.5,48
5.67,560.43,295.7,48
6.07,560.43,304.8,48
6.47,560.43,304.8,48
6.88,560.43,335.3,48
7.28,560.43,335.3,48
7.69,560.43,365.8,48
8.09,560.43,365.8,48
8.50,560.43,365.8,48
8.90,560.43,396.2,48
9.31,560.43,396.2,48
9.71,560.43,396.2,48
10.12,560.43,396.2,48
10.52,560.43,426.7,48
10.93,560.43,426.7,48
11.33,560.43,426.7,48
11.74,560.43,457.2,48
12.14,560.43,457.2,48
12.55,560.43,457.2,48
12.95,560.43,457.2,48
13.35,560.43,487.7,48
13.76,560.43,487.7,48
14.16,560.43,487.7,48
14.57,560.43,518.2,48
14.97,560.43,518.2,48
15.38,560.43,518.2,48
15.78,560.43,518.2,48
16.19,560.43,548.6,48
0.40,582.84,18.3,48
0.81,582.84,18.3,48
1.21,582.84,18.3,48
1.62,582.84,18.3,48
2.02,582.84,18.3,48
2.43,582.84,195.1,48
2.83,582.84,210.3,48
3.24,582.84,228.6,48
3.64,582.84,243.8,48
4.05,582.84,256.0,48
4.45,582.84,271.3,48
4.86,582.84,286.5,48
5.26,582.84,298.7,48
5.67,582.84,304.8,48
6.07,582.84,335.3,48
6.47,582.84,335.3,48
6.88,582.84,335.3,48
7.28,582.84,365.8,48
7.69,582.84,365.8,48
8.09,582.84,365.8,48
8.50,582.84,396.2,48
8.90,582.84,396.2,48
9.31,582.84,426.7,48
9.71,582.84,426.7,48
10.12,582.84,426.7,48
10.52,582.84,426.7,48
10.93,582.84,457.2,48
11.33,582.84,457.2,48
11.74,582.84,457.2,48
12.14,582.84,487.7,48
12.55,582.84,487.7,48
12.95,582.84,487.7,48
13.35,582.84,518.2,48
13.76,582.84,518.2,48
14.16,582.84,518.2,48
14.57,582.84,518.2,48
14.97,582.84,548.6,48
15.38,582.84,548.6,48
15.78,582.84,548.6,48
16.19,582.84,548.6,48
0.40,605.26,18.3,48
0.81,605.26,18.3,48
1.21,605.26,18.3,48
1.62,605.26,18.3,48
2.02,605.26,18.3,48
2.43,605.26,204.2,48
2.83,605.26,222.5,48
3.24,605.26,237.7,48
3.64,605.26,256.0,48
4.05,605.26,271.3,48
4.45,605.26,286.5,48
4.86,605.26,301.8,48
5.26,605.26,304.8,48
5.67,605.26,335.3,48
6.07,605.26,335.3,48
6.47,605.26,365.8,48
6.88,605.26,365.8,48
7.28,605.26,365.8,48
7.69,605.26,396.2,48
8.09,605.26,396.2,48
8.50,605.26,396.2,48
8.90,605.26,426.7,48
9.31,605.26,426.7,48
9.71,605.26,457.2,48
10.12,605.26,457.2,48
10.52,605.26,457.2,48
10.93,605.26,487.7,48
11.33,605.26,487.7,48
11.74,605.26,487.7,48
12.14,605.26,487.7,48
12.55,605.26,518.2,48
12.95,605.26,518.2,48
13.35,605.26,518.2,48
13.76,605.26,548.6,48
14.16,605.26,548.6,48
14.57,605.26,548.6,48
14.97,605.26,579.1,48
15.38,605.26,579.1,48
15.78,605.26,579.1,48
16.19,605.26,579.1,48
0.40,627.68,18.3,48
0.81,627.68,18.3,48
1.21,627.68,18.3,48
